"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1408",0.664536713217699,0.115745046136512,0.234879009365615,0.652112613814325
"CGGA_1411",0.804222606984494,0.214040003276147,0.553744277917466,0.600855077312576
"CGGA_235",-0.736838172467463,-0.622268256340164,-0.416102763086098,-0.300622773527593
"CGGA_269",0.795562598684305,0.545863192750511,0.660754028084201,0.602615489184491
"CGGA_272",0.768539552339613,0.606730845850108,0.527424123474383,0.60057029285452
"CGGA_274",0.435422761021904,-0.0904545507134171,0.00128850372977757,-0.303168682821578
"CGGA_276",-0.56529623901725,-0.423769959153527,-0.190149865084047,0.182184301120454
"CGGA_318",0.506905361473086,-0.0621849338363341,0.0086626996897945,-0.358292035799009
"CGGA_323",-0.654629646790672,-0.66135946133658,-0.427968631917461,-0.530812486147217
"CGGA_330",0.7384465366655,0.55375296120852,0.621297303050495,0.661532005961925
"CGGA_413",0.648277117355648,-0.15393584934572,0.17100358068057,0.562157900533991
"CGGA_426",0.80098118080197,-0.254053351427967,0.225816615952281,0.0956243046303788
"CGGA_448",0.680281239612261,0.732429763546167,0.720972616841649,0.705987602671238
"CGGA_483",0.669144112487432,0.293214958402802,0.40544372727673,0.525273430295475
"CGGA_488",-0.166890589157644,0.224685691857202,-0.00924213592216136,-0.140160835832238
"CGGA_493",-0.572025227604476,-0.0146815859380089,0.453828716062024,0.188072688679505
"CGGA_494",-0.443322794188963,-0.228190000147837,0.229963444692365,-0.114484860757722
"CGGA_499",0.0533733048089372,-0.311779161464847,-0.325213814361378,0.108450516841218
"CGGA_525",0.829170880493294,0.0561351009988075,0.372587300549241,0.37062822435502
"CGGA_541",-0.619463771550873,-0.656239415539176,-0.400895047946057,-0.57465423584338
"CGGA_564",0.0236123365673037,-0.483960802518477,-0.0696762327052926,0.225960968537522
"CGGA_565",-0.460940049575584,-0.0390897083742312,0.388373678229667,0.418906122854053
"CGGA_578",0.270845432608063,-0.692774904837375,-0.428227134023342,-0.252714299978386
"CGGA_599",0.092188369060164,0.260572445095699,0.384329226837085,0.547907627832089
"CGGA_604",0.556425070421039,0.457326680672437,0.413029338594234,0.487389041822358
"CGGA_616",0.554238635735883,0.369246196453556,0.373379853390556,0.542599759010222
"CGGA_624",0.709217463086857,-0.0694930539465194,0.253441148400371,0.471956373943489
"CGGA_630",-0.690140537591792,0.0435308934169362,-0.0621043312630815,0.216022345273835
"CGGA_633",-0.666991145275152,-0.651218135241277,-0.471992874597375,-0.298040557495774
"CGGA_638",0.55572392128235,-0.301468976819296,0.273611392221578,0.5349029313901
"CGGA_643",-0.340331576641379,-0.429682942219474,-0.474835832096921,-0.518039361701102
"CGGA_658",0.508534805881926,-0.374172134505815,0.0943360367306928,0.361761870552455
"CGGA_659",-0.623556206804176,-0.252403520755209,-0.262741968058806,-0.430811750841962
"CGGA_661",0.700338030515386,0.614651980377095,0.534770434701655,0.569342970688696
"CGGA_669",-0.632559298209899,0.209660736675472,0.397638679107133,0.162744099066365
"CGGA_676",0.55614274499027,-0.327389670730686,0.147207407365649,0.408336732762202
